words,delays
robbery,3.38
jam,4.13
behave,3.25
borough,3.25
shortage,3.01
jock,3
tinker,3.5
squint,3
dairy,3.75
interior,3
fireman,3.88
tag,3.13
rich,3.25
condemn,3.5
hateful,3
larger,3.13
piper,3.38
deny,3.13
steed,3.13
zombie,3.75
holy,3.13
when,3.5
pelt,3
saddle,3
deck,3
football,3.25
bone,3.13
sardine,3
gem,3.13
frightful,3.13
tangerine,3
hull,3.13
cheek,3.13
glue,3
leap,3.63
plight,3
utterly,3.38
animated,3.5
salacious,3.13
gong,3
fell,3.38
fluffy,3.25
blank,3.13
older,3
bunny,3
notion,4.63
charisma,3.13
theme,3
rubbish,3
vest,3.38
plow,3
fog,3
council,3.38
parakeet,3.13
resolve,3.5
thence,3
women,3
temple,3
cornmeal,3.25
poisonous,3.63
distinct,3.25
shape,3.25
told,3
bled,3.25
check,3.13
light,3.25
asylum,3.13
machine,3.13
shanghai,3.13
breed,3.25
drake,3.25
blast,3.63
valet,3
drift,3.38
splash,3
unopened,3.63
furry,3
vulgar,3.5
one,3.13
claim,10.45
