words,delays
furry,3
notion,3.13
asleep,3.13
explosive,4.25
tangerine,3.5
rainstorm,3
pottery,3.5
rich,3.5
plight,3
tea,3.13
when,3
shanghai,3
tinker,3.13
operate,3.25
knee,3.38
crocodile,3
leap,3.13
breed,3
decide,3.13
deck,3.25
cornmeal,3
womb,3.75
squint,3
douse,3
clarinet,3.25
gingham,3.13
drake,3.63
cocoon,3.13
distinct,3
deny,3
older,3.13
whole,3.25
rue,3
plow,3.38
lilly,3.13
gush,3
gem,3
norman,3.38
cob,3.25
valet,3
gong,3
confetti,3.5
hung,3.38
wrap,3.25
blast,3.5
moist,3.13
football,3.38
breathe,3.38
piper,3
drift,3.13
poisonous,3
soluble,3.88
parakeet,3
kin,4.25
splash,3
pitcher,3.25
utterly,3.25
shill,3.38
holy,3.25
quite,3.25
unopened,3.63
curd,3.25
hateful,3
saturday,3
whirl,3.13
syllable,3.25
robbery,3.13
fluffy,3.13
mailman,3.75
council,3.38
merely,3
brown,3
borough,3
complain,3.13
glacier,4.75
vulgar,3.13
horror,3.13
larger,3.13
dairy,3.25
animated,10.1
